departure,arrival,year,string,bi-direction,departure_lat,departure_lng,arrival_lat,arrival_lng,departure_centrality,arrival_centrality,flights_in,airline_centrality_in,flights_out,airline_centrality_out,source,target
AHJ,CTU,2015,AHJCTU2015,2,32.526648,102.359218,30.57852,103.946999,0.019704433,1.004926108,94.0,0.002523546,92,0.002454022,"[32.526648, 102.359218]","[30.57852, 103.946999]"
AHJ,CTU,2016,AHJCTU2016,2,32.526648,102.359218,30.57852,103.946999,0.018691588999999998,0.990654206,81.0,0.002365242,81,0.002350573,"[32.526648, 102.359218]","[30.57852, 103.946999]"
AHJ,CTU,2017,AHJCTU2017,2,32.526648,102.359218,30.57852,103.946999,0.017699115,1.079646018,75.0,0.00227271,75,0.0022802670000000003,"[32.526648, 102.359218]","[30.57852, 103.946999]"
AHJ,CTU,2018,AHJCTU2018,2,32.526648,102.359218,30.57852,103.946999,0.018390805,0.72183908,92.0,0.000893195,97,0.00046117900000000004,"[32.526648, 102.359218]","[30.57852, 103.946999]"
AHJ,LXA,2018,AHJLXA2018,2,32.526648,102.359218,29.29777,90.91194200000001,0.018390805,0.11954023,75.0,0.000158081,70,8.240000000000001e-05,"[32.526648, 102.359218]","[29.29777, 90.91194200000001]"
AHJ,WNZ,2018,AHJWNZ2018,2,32.526648,102.359218,27.91222,120.85189799999999,0.018390805,0.324137931,46.0,0.000424173,46,0.000200957,"[32.526648, 102.359218]","[27.91222, 120.85189799999999]"
AKU,CGO,2017,AKUCGO2017,2,41.263252,80.293103,34.519669,113.840797,0.061946903,0.7876106190000001,224.0,0.000806575,224,0.000817103,"[41.263252, 80.293103]","[34.519669, 113.840797]"
AKU,CGO,2018,AKUCGO2018,2,41.263252,80.293103,34.519669,113.840797,0.045977011,0.47816092,524.0,0.00029360599999999997,525,0.000154823,"[41.263252, 80.293103]","[34.519669, 113.840797]"
AKU,CKG,2015,AKUCKG2015,2,41.263252,80.293103,29.719209999999997,106.641602,0.039408867,0.985221675,25.0,0.00130742,25,0.001332737,"[41.263252, 80.293103]","[29.719209999999997, 106.641602]"
AKU,CKG,2016,AKUCKG2016,2,41.263252,80.293103,29.719209999999997,106.641602,0.046728972,0.9953271029999999,186.0,0.001384627,186,0.0013994139999999999,"[41.263252, 80.293103]","[29.719209999999997, 106.641602]"
AKU,CKG,2017,AKUCKG2017,2,41.263252,80.293103,29.719209999999997,106.641602,0.061946903,1.039823009,200.0,0.001049618,200,0.001050528,"[41.263252, 80.293103]","[29.719209999999997, 106.641602]"
AKU,CKG,2018,AKUCKG2018,2,41.263252,80.293103,29.719209999999997,106.641602,0.045977011,0.6965517240000001,169.0,0.00042463099999999997,169,0.000249977,"[41.263252, 80.293103]","[29.719209999999997, 106.641602]"
AKU,CTU,2015,AKUCTU2015,2,41.263252,80.293103,30.57852,103.946999,0.039408867,1.004926108,349.0,0.00134897,349,0.001295895,"[41.263252, 80.293103]","[30.57852, 103.946999]"
AKU,CTU,2016,AKUCTU2016,2,41.263252,80.293103,30.57852,103.946999,0.046728972,0.990654206,361.0,0.0013975429999999998,360,0.0014046739999999999,"[41.263252, 80.293103]","[30.57852, 103.946999]"
AKU,CTU,2017,AKUCTU2017,2,41.263252,80.293103,30.57852,103.946999,0.061946903,1.079646018,365.0,0.0010928630000000001,365,0.0011014339999999999,"[41.263252, 80.293103]","[30.57852, 103.946999]"
AKU,CTU,2018,AKUCTU2018,2,41.263252,80.293103,30.57852,103.946999,0.045977011,0.72183908,388.0,0.000481671,387,0.00022716,"[41.263252, 80.293103]","[30.57852, 103.946999]"
AKU,HTN,2016,AKUHTN2016,2,41.263252,80.293103,37.038007,79.868983,0.046728972,0.028037383,92.0,0.0005162809999999999,93,0.00051426,"[41.263252, 80.293103]","[37.038007, 79.868983]"
AKU,HTN,2017,AKUHTN2017,2,41.263252,80.293103,37.038007,79.868983,0.061946903,0.03539823,128.0,0.000496941,128,0.000479935,"[41.263252, 80.293103]","[37.038007, 79.868983]"
AKU,HTN,2018,AKUHTN2018,2,41.263252,80.293103,37.038007,79.868983,0.045977011,0.036781609,257.0,2.47e-05,257,2.46e-05,"[41.263252, 80.293103]","[37.038007, 79.868983]"
AKU,KHG,2017,AKUKHG2017,2,41.263252,80.293103,39.541251,76.024599,0.061946903,0.10619469,77.0,8.159999999999999e-05,77,8.159999999999999e-05,"[41.263252, 80.293103]","[39.541251, 76.024599]"
AKU,KHG,2018,AKUKHG2018,2,41.263252,80.293103,39.541251,76.024599,0.045977011,0.064367816,258.0,1.9600000000000002e-05,255,2.01e-05,"[41.263252, 80.293103]","[39.541251, 76.024599]"
AKU,KRL,2018,AKUKRL2018,2,41.263252,80.293103,41.618911,86.13804300000001,0.045977011,0.101149425,159.0,6.02e-05,159,3.14e-05,"[41.263252, 80.293103]","[41.618911, 86.13804300000001]"
