departure,arrival,year,string,bi-direction,departure_lat,departure_lng,arrival_lat,arrival_lng,departure_centrality,arrival_centrality,flights_in,airline_centrality_in,flights_out,airline_centrality_out
AQG,XIY,2016,AQGXIY2016,2,30.580776,117.055412,34.438157,108.764819,0.074766355,1.088785047,189,0.000890712,189,0.000893281
AQG,XIY,2017,AQGXIY2017,2,30.580776,117.055412,34.438157,108.764819,0.097345133,1.185840708,191,0.000714023,192,0.000717413
AQG,XIY,2018,AQGXIY2018,2,30.580776,117.055412,34.438157,108.764819,0.059770115,0.770114943,199,0.000315777,196,0.000237857
AQG,XMN,2015,AQGXMN2015,2,30.580776,117.055412,24.544029,118.127701,0.078817734,0.719211823,162,0.000372663,160,0.000374636
AQG,XMN,2016,AQGXMN2016,2,30.580776,117.055412,24.544029,118.127701,0.074766355,0.672897196,185,0.000312012,187,0.000325933
AQG,XMN,2017,AQGXMN2017,2,30.580776,117.055412,24.544029,118.127701,0.097345133,0.703539823,191,0.000233138,190,0.000236009
AQG,XMN,2018,AQGXMN2018,2,30.580776,117.055412,24.544029,118.127701,0.059770115,0.436781609,195,0.0000935,198,0.0000541
AVA,CAN,2015,AVACAN2015,2,26.25699,105.8774,23.392429,113.298698,0.078817734,1.064039409,99,0.000862414,101,0.00087756
AVA,CAN,2016,AVACAN2016,2,26.25699,105.8774,23.392429,113.298698,0.112149533,1.060747664,23,0.000537491,21,0.000546848
AVA,CKG,2015,AVACKG2015,2,26.25699,105.8774,29.71921,106.641602,0.078817734,0.985221675,126,0.000897532,127,0.000895191
AVA,CKG,2016,AVACKG2016,2,26.25699,105.8774,29.71921,106.641602,0.112149533,0.995327103,110,0.000618526,107,0.000617804
AVA,CKG,2017,AVACKG2017,2,26.25699,105.8774,29.71921,106.641602,0.10619469,1.039823009,150,0.000589933,143,0.000584667
